context	ref	alt	mu	methylation_level	worst_csq	coverage	AM_CLASS	high_AM_SCORE	variant_count	singleton_count
AAA	A	C	1.8303e-09	0	missense_variant	9	benign	0	1	1
AAA	A	C	1.8303e-09	0	missense_variant	12	benign	0	1	0
AAA	A	C	1.8303e-09	0	missense_variant	13	pathogenic	0	1	1
AAA	A	C	1.8303e-09	0	missense_variant	14	ambiguous	0	1	0
AAA	A	C	1.8303e-09	0	missense_variant	14	benign	0	4	1
AAA	A	C	1.8303e-09	0	missense_variant	14	pathogenic	0	1	1
AAA	A	C	1.8303e-09	0	missense_variant	15	ambiguous	0	2	2
AAA	A	C	1.8303e-09	0	missense_variant	15	benign	0	13	8
AAA	A	C	1.8303e-09	0	missense_variant	15	pathogenic	0	2	1
AAA	A	C	1.8303e-09	0	missense_variant	15	pathogenic	1	2	2
AAA	A	C	1.8303e-09	0	missense_variant	16	ambiguous	0	2	0
AAA	A	C	1.8303e-09	0	missense_variant	16	benign	0	21	12
AAA	A	C	1.8303e-09	0	missense_variant	16	pathogenic	0	3	3
AAA	A	C	1.8303e-09	0	missense_variant	16	pathogenic	1	6	3
AAA	A	C	1.8303e-09	0	missense_variant	16	NA	NA	2	2
AAA	A	C	1.8303e-09	0	missense_variant	17	ambiguous	0	3	1
AAA	A	C	1.8303e-09	0	missense_variant	17	benign	0	31	21
AAA	A	C	1.8303e-09	0	missense_variant	17	pathogenic	0	6	5
AAA	A	C	1.8303e-09	0	missense_variant	17	pathogenic	1	5	4
AAA	A	C	1.8303e-09	0	missense_variant	17	NA	NA	5	4
AAA	A	C	1.8303e-09	0	missense_variant	18	ambiguous	0	6	4
AAA	A	C	1.8303e-09	0	missense_variant	18	benign	0	39	27
AAA	A	C	1.8303e-09	0	missense_variant	18	pathogenic	0	4	4
AAA	A	C	1.8303e-09	0	missense_variant	18	pathogenic	1	7	7
AAA	A	C	1.8303e-09	0	missense_variant	18	NA	NA	1	0
AAA	A	C	1.8303e-09	0	missense_variant	19	ambiguous	0	11	4
AAA	A	C	1.8303e-09	0	missense_variant	19	benign	0	55	37
AAA	A	C	1.8303e-09	0	missense_variant	19	pathogenic	0	8	4
AAA	A	C	1.8303e-09	0	missense_variant	19	pathogenic	1	5	3
AAA	A	C	1.8303e-09	0	missense_variant	19	NA	NA	3	2
AAA	A	C	1.8303e-09	0	missense_variant	20	ambiguous	0	13	9
AAA	A	C	1.8303e-09	0	missense_variant	20	benign	0	51	32
AAA	A	C	1.8303e-09	0	missense_variant	20	pathogenic	0	14	5
AAA	A	C	1.8303e-09	0	missense_variant	20	pathogenic	1	10	10
AAA	A	C	1.8303e-09	0	missense_variant	20	NA	NA	3	3
AAA	A	C	1.8303e-09	0	missense_variant	21	ambiguous	0	10	6
AAA	A	C	1.8303e-09	0	missense_variant	21	benign	0	72	50
AAA	A	C	1.8303e-09	0	missense_variant	21	pathogenic	0	13	8
AAA	A	C	1.8303e-09	0	missense_variant	21	pathogenic	1	11	7
AAA	A	C	1.8303e-09	0	missense_variant	21	NA	NA	9	5
AAA	A	C	1.8303e-09	0	missense_variant	22	ambiguous	0	9	5
AAA	A	C	1.8303e-09	0	missense_variant	22	benign	0	74	50
AAA	A	C	1.8303e-09	0	missense_variant	22	pathogenic	0	9	7
AAA	A	C	1.8303e-09	0	missense_variant	22	pathogenic	1	18	16
AAA	A	C	1.8303e-09	0	missense_variant	22	NA	NA	7	5
AAA	A	C	1.8303e-09	0	missense_variant	23	ambiguous	0	18	12
AAA	A	C	1.8303e-09	0	missense_variant	23	benign	0	93	50
AAA	A	C	1.8303e-09	0	missense_variant	23	pathogenic	0	11	10
AAA	A	C	1.8303e-09	0	missense_variant	23	pathogenic	1	15	11
AAA	A	C	1.8303e-09	0	missense_variant	23	NA	NA	9	7
AAA	A	C	1.8303e-09	0	missense_variant	24	ambiguous	0	25	15
AAA	A	C	1.8303e-09	0	missense_variant	24	benign	0	108	66
AAA	A	C	1.8303e-09	0	missense_variant	24	pathogenic	0	12	10
AAA	A	C	1.8303e-09	0	missense_variant	24	pathogenic	1	17	12
AAA	A	C	1.8303e-09	0	missense_variant	24	NA	NA	8	8
AAA	A	C	1.8303e-09	0	missense_variant	25	ambiguous	0	18	10
AAA	A	C	1.8303e-09	0	missense_variant	25	benign	0	110	73
AAA	A	C	1.8303e-09	0	missense_variant	25	pathogenic	0	22	17
AAA	A	C	1.8303e-09	0	missense_variant	25	pathogenic	1	21	18
AAA	A	C	1.8303e-09	0	missense_variant	25	NA	NA	9	6
AAA	A	C	1.8303e-09	0	missense_variant	26	ambiguous	0	18	11
AAA	A	C	1.8303e-09	0	missense_variant	26	benign	0	116	70
AAA	A	C	1.8303e-09	0	missense_variant	26	pathogenic	0	18	8
AAA	A	C	1.8303e-09	0	missense_variant	26	pathogenic	1	31	25
AAA	A	C	1.8303e-09	0	missense_variant	26	NA	NA	12	6
AAA	A	C	1.8303e-09	0	missense_variant	27	ambiguous	0	28	19
AAA	A	C	1.8303e-09	0	missense_variant	27	benign	0	136	90
AAA	A	C	1.8303e-09	0	missense_variant	27	pathogenic	0	14	8
AAA	A	C	1.8303e-09	0	missense_variant	27	pathogenic	1	26	14
AAA	A	C	1.8303e-09	0	missense_variant	27	NA	NA	13	7
AAA	A	C	1.8303e-09	0	missense_variant	28	ambiguous	0	28	17
AAA	A	C	1.8303e-09	0	missense_variant	28	benign	0	149	92
AAA	A	C	1.8303e-09	0	missense_variant	28	pathogenic	0	26	17
AAA	A	C	1.8303e-09	0	missense_variant	28	pathogenic	1	26	22
AAA	A	C	1.8303e-09	0	missense_variant	28	NA	NA	17	11
AAA	A	C	1.8303e-09	0	missense_variant	29	ambiguous	0	30	14
AAA	A	C	1.8303e-09	0	missense_variant	29	benign	0	157	89
AAA	A	C	1.8303e-09	0	missense_variant	29	pathogenic	0	20	12
AAA	A	C	1.8303e-09	0	missense_variant	29	pathogenic	1	26	20
AAA	A	C	1.8303e-09	0	missense_variant	29	NA	NA	12	6
AAA	A	C	1.8303e-09	0	missense_variant	30	ambiguous	0	27	13
AAA	A	C	1.8303e-09	0	missense_variant	30	benign	0	178	105
AAA	A	C	1.8303e-09	0	missense_variant	30	pathogenic	0	28	21
AAA	A	C	1.8303e-09	0	missense_variant	30	pathogenic	1	34	22
AAA	A	C	1.8303e-09	0	missense_variant	30	NA	NA	11	8
AAA	A	C	1.8303e-09	0	missense_variant	31	ambiguous	0	44	35
AAA	A	C	1.8303e-09	0	missense_variant	31	benign	0	195	121
AAA	A	C	1.8303e-09	0	missense_variant	31	pathogenic	0	21	12
AAA	A	C	1.8303e-09	0	missense_variant	31	pathogenic	1	30	24
AAA	A	C	1.8303e-09	0	missense_variant	31	NA	NA	6	4
AAA	A	C	1.8303e-09	0	missense_variant	32	ambiguous	0	37	27
AAA	A	C	1.8303e-09	0	missense_variant	32	benign	0	204	134
AAA	A	C	1.8303e-09	0	missense_variant	32	pathogenic	0	30	22
AAA	A	C	1.8303e-09	0	missense_variant	32	pathogenic	1	29	22
AAA	A	C	1.8303e-09	0	missense_variant	32	NA	NA	16	11
AAA	A	C	1.8303e-09	0	missense_variant	33	ambiguous	0	46	36
AAA	A	C	1.8303e-09	0	missense_variant	33	benign	0	198	133
AAA	A	C	1.8303e-09	0	missense_variant	33	pathogenic	0	28	21
AAA	A	C	1.8303e-09	0	missense_variant	33	pathogenic	1	46	31
AAA	A	C	1.8303e-09	0	missense_variant	33	NA	NA	11	8
AAA	A	C	1.8303e-09	0	missense_variant	34	ambiguous	0	40	29
AAA	A	C	1.8303e-09	0	missense_variant	34	benign	0	216	140
AAA	A	C	1.8303e-09	0	missense_variant	34	pathogenic	0	42	30
AAA	A	C	1.8303e-09	0	missense_variant	34	pathogenic	1	57	45
AAA	A	C	1.8303e-09	0	missense_variant	34	NA	NA	15	6
AAA	A	C	1.8303e-09	0	missense_variant	35	ambiguous	0	43	31
AAA	A	C	1.8303e-09	0	missense_variant	35	benign	0	242	153
AAA	A	C	1.8303e-09	0	missense_variant	35	pathogenic	0	23	16
AAA	A	C	1.8303e-09	0	missense_variant	35	pathogenic	1	55	45
AAA	A	C	1.8303e-09	0	missense_variant	35	NA	NA	25	17
AAA	A	C	1.8303e-09	0	missense_variant	36	ambiguous	0	39	24
AAA	A	C	1.8303e-09	0	missense_variant	36	benign	0	215	130
AAA	A	C	1.8303e-09	0	missense_variant	36	pathogenic	0	44	30
AAA	A	C	1.8303e-09	0	missense_variant	36	pathogenic	1	62	47
AAA	A	C	1.8303e-09	0	missense_variant	36	NA	NA	21	14
AAA	A	C	1.8303e-09	0	missense_variant	37	ambiguous	0	43	28
AAA	A	C	1.8303e-09	0	missense_variant	37	benign	0	272	171
AAA	A	C	1.8303e-09	0	missense_variant	37	pathogenic	0	52	34
AAA	A	C	1.8303e-09	0	missense_variant	37	pathogenic	1	50	31
AAA	A	C	1.8303e-09	0	missense_variant	37	NA	NA	19	11
AAA	A	C	1.8303e-09	0	missense_variant	38	ambiguous	0	46	32
AAA	A	C	1.8303e-09	0	missense_variant	38	benign	0	272	160
AAA	A	C	1.8303e-09	0	missense_variant	38	pathogenic	0	54	37
AAA	A	C	1.8303e-09	0	missense_variant	38	pathogenic	1	60	44
AAA	A	C	1.8303e-09	0	missense_variant	38	NA	NA	22	11
AAA	A	C	1.8303e-09	0	missense_variant	39	ambiguous	0	34	26
AAA	A	C	1.8303e-09	0	missense_variant	39	benign	0	255	173
AAA	A	C	1.8303e-09	0	missense_variant	39	pathogenic	0	40	28
AAA	A	C	1.8303e-09	0	missense_variant	39	pathogenic	1	62	49
AAA	A	C	1.8303e-09	0	missense_variant	39	NA	NA	18	10
AAA	A	C	1.8303e-09	0	missense_variant	40	ambiguous	0	45	27
AAA	A	C	1.8303e-09	0	missense_variant	40	benign	0	271	171
AAA	A	C	1.8303e-09	0	missense_variant	40	pathogenic	0	35	18
AAA	A	C	1.8303e-09	0	missense_variant	40	pathogenic	1	54	42
AAA	A	C	1.8303e-09	0	missense_variant	40	NA	NA	25	12
AAA	A	C	1.8303e-09	0	missense_variant	41	ambiguous	0	41	27
AAA	A	C	1.8303e-09	0	missense_variant	41	benign	0	284	176
AAA	A	C	1.8303e-09	0	missense_variant	41	pathogenic	0	48	30
AAA	A	C	1.8303e-09	0	missense_variant	41	pathogenic	1	61	48
AAA	A	C	1.8303e-09	0	missense_variant	41	NA	NA	21	14
AAA	A	C	1.8303e-09	0	missense_variant	42	ambiguous	0	47	29
AAA	A	C	1.8303e-09	0	missense_variant	42	benign	0	259	163
AAA	A	C	1.8303e-09	0	missense_variant	42	pathogenic	0	50	29
AAA	A	C	1.8303e-09	0	missense_variant	42	pathogenic	1	61	46
AAA	A	C	1.8303e-09	0	missense_variant	42	NA	NA	13	12
AAA	A	C	1.8303e-09	0	missense_variant	43	ambiguous	0	47	32
AAA	A	C	1.8303e-09	0	missense_variant	43	benign	0	275	178
AAA	A	C	1.8303e-09	0	missense_variant	43	pathogenic	0	39	23
AAA	A	C	1.8303e-09	0	missense_variant	43	pathogenic	1	67	45
AAA	A	C	1.8303e-09	0	missense_variant	43	NA	NA	8	3
AAA	A	C	1.8303e-09	0	missense_variant	44	ambiguous	0	60	38
AAA	A	C	1.8303e-09	0	missense_variant	44	benign	0	274	166
AAA	A	C	1.8303e-09	0	missense_variant	44	pathogenic	0	37	22
AAA	A	C	1.8303e-09	0	missense_variant	44	pathogenic	1	56	41
AAA	A	C	1.8303e-09	0	missense_variant	44	NA	NA	19	16
AAA	A	C	1.8303e-09	0	missense_variant	45	ambiguous	0	58	36
AAA	A	C	1.8303e-09	0	missense_variant	45	benign	0	275	172
AAA	A	C	1.8303e-09	0	missense_variant	45	pathogenic	0	41	26
AAA	A	C	1.8303e-09	0	missense_variant	45	pathogenic	1	65	49
AAA	A	C	1.8303e-09	0	missense_variant	45	NA	NA	26	14
AAA	A	C	1.8303e-09	0	missense_variant	46	ambiguous	0	50	38
AAA	A	C	1.8303e-09	0	missense_variant	46	benign	0	304	188
AAA	A	C	1.8303e-09	0	missense_variant	46	pathogenic	0	44	25
AAA	A	C	1.8303e-09	0	missense_variant	46	pathogenic	1	75	55
AAA	A	C	1.8303e-09	0	missense_variant	46	NA	NA	16	10
AAA	A	C	1.8303e-09	0	missense_variant	47	ambiguous	0	44	28
AAA	A	C	1.8303e-09	0	missense_variant	47	benign	0	281	157
AAA	A	C	1.8303e-09	0	missense_variant	47	pathogenic	0	33	25
AAA	A	C	1.8303e-09	0	missense_variant	47	pathogenic	1	66	55
AAA	A	C	1.8303e-09	0	missense_variant	47	NA	NA	20	14
AAA	A	C	1.8303e-09	0	missense_variant	48	ambiguous	0	59	35
AAA	A	C	1.8303e-09	0	missense_variant	48	benign	0	286	170
AAA	A	C	1.8303e-09	0	missense_variant	48	pathogenic	0	42	32
AAA	A	C	1.8303e-09	0	missense_variant	48	pathogenic	1	77	61
AAA	A	C	1.8303e-09	0	missense_variant	48	NA	NA	32	18
AAA	A	C	1.8303e-09	0	missense_variant	49	ambiguous	0	50	31
AAA	A	C	1.8303e-09	0	missense_variant	49	benign	0	286	177
AAA	A	C	1.8303e-09	0	missense_variant	49	pathogenic	0	49	37
AAA	A	C	1.8303e-09	0	missense_variant	49	pathogenic	1	69	52
AAA	A	C	1.8303e-09	0	missense_variant	49	NA	NA	21	13
AAA	A	C	1.8303e-09	0	missense_variant	50	ambiguous	0	46	38
AAA	A	C	1.8303e-09	0	missense_variant	50	benign	0	276	178
AAA	A	C	1.8303e-09	0	missense_variant	50	pathogenic	0	38	22
AAA	A	C	1.8303e-09	0	missense_variant	50	pathogenic	1	74	55
AAA	A	C	1.8303e-09	0	missense_variant	50	NA	NA	15	10
AAA	A	C	1.8303e-09	0	missense_variant	51	ambiguous	0	61	44
AAA	A	C	1.8303e-09	0	missense_variant	51	benign	0	276	182
AAA	A	C	1.8303e-09	0	missense_variant	51	pathogenic	0	43	28
AAA	A	C	1.8303e-09	0	missense_variant	51	pathogenic	1	60	46
AAA	A	C	1.8303e-09	0	missense_variant	51	NA	NA	20	13
AAA	A	C	1.8303e-09	0	missense_variant	52	ambiguous	0	50	29
AAA	A	C	1.8303e-09	0	missense_variant	52	benign	0	258	158
AAA	A	C	1.8303e-09	0	missense_variant	52	pathogenic	0	42	28
AAA	A	C	1.8303e-09	0	missense_variant	52	pathogenic	1	53	38
AAA	A	C	1.8303e-09	0	missense_variant	52	NA	NA	21	14
AAA	A	C	1.8303e-09	0	missense_variant	53	ambiguous	0	48	29
AAA	A	C	1.8303e-09	0	missense_variant	53	benign	0	300	173
AAA	A	C	1.8303e-09	0	missense_variant	53	pathogenic	0	37	23
AAA	A	C	1.8303e-09	0	missense_variant	53	pathogenic	1	60	50
AAA	A	C	1.8303e-09	0	missense_variant	53	NA	NA	21	8
AAA	A	C	1.8303e-09	0	missense_variant	54	ambiguous	0	48	34
AAA	A	C	1.8303e-09	0	missense_variant	54	benign	0	256	169
AAA	A	C	1.8303e-09	0	missense_variant	54	pathogenic	0	37	23
AAA	A	C	1.8303e-09	0	missense_variant	54	pathogenic	1	69	45
AAA	A	C	1.8303e-09	0	missense_variant	54	NA	NA	11	11
AAA	A	C	1.8303e-09	0	missense_variant	55	ambiguous	0	41	28
AAA	A	C	1.8303e-09	0	missense_variant	55	benign	0	270	170
AAA	A	C	1.8303e-09	0	missense_variant	55	pathogenic	0	38	27
AAA	A	C	1.8303e-09	0	missense_variant	55	pathogenic	1	54	37
AAA	A	C	1.8303e-09	0	missense_variant	55	NA	NA	26	20
AAA	A	C	1.8303e-09	0	missense_variant	56	ambiguous	0	42	25
AAA	A	C	1.8303e-09	0	missense_variant	56	benign	0	243	141
AAA	A	C	1.8303e-09	0	missense_variant	56	pathogenic	0	35	22
AAA	A	C	1.8303e-09	0	missense_variant	56	pathogenic	1	71	47
AAA	A	C	1.8303e-09	0	missense_variant	56	NA	NA	9	6
AAA	A	C	1.8303e-09	0	missense_variant	57	ambiguous	0	47	33
AAA	A	C	1.8303e-09	0	missense_variant	57	benign	0	257	164
AAA	A	C	1.8303e-09	0	missense_variant	57	pathogenic	0	40	27
AAA	A	C	1.8303e-09	0	missense_variant	57	pathogenic	1	64	50
AAA	A	C	1.8303e-09	0	missense_variant	57	NA	NA	19	12
AAA	A	C	1.8303e-09	0	missense_variant	58	ambiguous	0	41	30
AAA	A	C	1.8303e-09	0	missense_variant	58	benign	0	286	181
AAA	A	C	1.8303e-09	0	missense_variant	58	pathogenic	0	50	35
AAA	A	C	1.8303e-09	0	missense_variant	58	pathogenic	1	51	43
AAA	A	C	1.8303e-09	0	missense_variant	58	NA	NA	15	8
AAA	A	C	1.8303e-09	0	missense_variant	59	ambiguous	0	51	38
AAA	A	C	1.8303e-09	0	missense_variant	59	benign	0	250	166
AAA	A	C	1.8303e-09	0	missense_variant	59	pathogenic	0	41	26
AAA	A	C	1.8303e-09	0	missense_variant	59	pathogenic	1	58	35
AAA	A	C	1.8303e-09	0	missense_variant	59	NA	NA	7	6
AAA	A	C	1.8303e-09	0	missense_variant	60	ambiguous	0	39	21
AAA	A	C	1.8303e-09	0	missense_variant	60	benign	0	247	151
AAA	A	C	1.8303e-09	0	missense_variant	60	pathogenic	0	41	33
AAA	A	C	1.8303e-09	0	missense_variant	60	pathogenic	1	56	42
AAA	A	C	1.8303e-09	0	missense_variant	60	NA	NA	18	15
AAA	A	C	1.8303e-09	0	missense_variant	61	ambiguous	0	49	30
AAA	A	C	1.8303e-09	0	missense_variant	61	benign	0	238	148
AAA	A	C	1.8303e-09	0	missense_variant	61	pathogenic	0	44	30
AAA	A	C	1.8303e-09	0	missense_variant	61	pathogenic	1	76	60
AAA	A	C	1.8303e-09	0	missense_variant	61	NA	NA	18	14
AAA	A	C	1.8303e-09	0	missense_variant	62	ambiguous	0	52	35
AAA	A	C	1.8303e-09	0	missense_variant	62	benign	0	264	158
AAA	A	C	1.8303e-09	0	missense_variant	62	pathogenic	0	36	23
AAA	A	C	1.8303e-09	0	missense_variant	62	pathogenic	1	49	36
AAA	A	C	1.8303e-09	0	missense_variant	62	NA	NA	16	9
AAA	A	C	1.8303e-09	0	missense_variant	63	ambiguous	0	28	17
AAA	A	C	1.8303e-09	0	missense_variant	63	benign	0	266	182
AAA	A	C	1.8303e-09	0	missense_variant	63	pathogenic	0	35	29
AAA	A	C	1.8303e-09	0	missense_variant	63	pathogenic	1	61	51
AAA	A	C	1.8303e-09	0	missense_variant	63	NA	NA	18	9
AAA	A	C	1.8303e-09	0	missense_variant	64	ambiguous	0	38	28
AAA	A	C	1.8303e-09	0	missense_variant	64	benign	0	219	141
AAA	A	C	1.8303e-09	0	missense_variant	64	pathogenic	0	41	27
AAA	A	C	1.8303e-09	0	missense_variant	64	pathogenic	1	55	40
AAA	A	C	1.8303e-09	0	missense_variant	64	NA	NA	17	8
AAA	A	C	1.8303e-09	0	missense_variant	65	ambiguous	0	51	36
AAA	A	C	1.8303e-09	0	missense_variant	65	benign	0	218	129
AAA	A	C	1.8303e-09	0	missense_variant	65	pathogenic	0	31	19
AAA	A	C	1.8303e-09	0	missense_variant	65	pathogenic	1	47	32
AAA	A	C	1.8303e-09	0	missense_variant	65	NA	NA	16	8
AAA	A	C	1.8303e-09	0	missense_variant	66	ambiguous	0	45	25
AAA	A	C	1.8303e-09	0	missense_variant	66	benign	0	235	152
AAA	A	C	1.8303e-09	0	missense_variant	66	pathogenic	0	42	34
AAA	A	C	1.8303e-09	0	missense_variant	66	pathogenic	1	50	39
AAA	A	C	1.8303e-09	0	missense_variant	66	NA	NA	20	11
AAA	A	C	1.8303e-09	0	missense_variant	67	ambiguous	0	44	33
AAA	A	C	1.8303e-09	0	missense_variant	67	benign	0	262	162
AAA	A	C	1.8303e-09	0	missense_variant	67	pathogenic	0	29	26
AAA	A	C	1.8303e-09	0	missense_variant	67	pathogenic	1	58	39
AAA	A	C	1.8303e-09	0	missense_variant	67	NA	NA	17	12
AAA	A	C	1.8303e-09	0	missense_variant	68	ambiguous	0	48	31
AAA	A	C	1.8303e-09	0	missense_variant	68	benign	0	210	139
AAA	A	C	1.8303e-09	0	missense_variant	68	pathogenic	0	30	16
AAA	A	C	1.8303e-09	0	missense_variant	68	pathogenic	1	46	28
AAA	A	C	1.8303e-09	0	missense_variant	68	NA	NA	18	11
AAA	A	C	1.8303e-09	0	missense_variant	69	ambiguous	0	45	32
AAA	A	C	1.8303e-09	0	missense_variant	69	benign	0	230	143
AAA	A	C	1.8303e-09	0	missense_variant	69	pathogenic	0	38	28
AAA	A	C	1.8303e-09	0	missense_variant	69	pathogenic	1	56	42
AAA	A	C	1.8303e-09	0	missense_variant	69	NA	NA	15	9
AAA	A	C	1.8303e-09	0	missense_variant	70	ambiguous	0	40	19
AAA	A	C	1.8303e-09	0	missense_variant	70	benign	0	219	139
AAA	A	C	1.8303e-09	0	missense_variant	70	pathogenic	0	36	28
AAA	A	C	1.8303e-09	0	missense_variant	70	pathogenic	1	42	33
AAA	A	C	1.8303e-09	0	missense_variant	70	NA	NA	17	12
AAA	A	C	1.8303e-09	0	missense_variant	71	ambiguous	0	39	27
AAA	A	C	1.8303e-09	0	missense_variant	71	benign	0	201	119
AAA	A	C	1.8303e-09	0	missense_variant	71	pathogenic	0	39	23
AAA	A	C	1.8303e-09	0	missense_variant	71	pathogenic	1	48	37
AAA	A	C	1.8303e-09	0	missense_variant	71	NA	NA	14	10
AAA	A	C	1.8303e-09	0	missense_variant	72	ambiguous	0	30	19
AAA	A	C	1.8303e-09	0	missense_variant	72	benign	0	208	129
AAA	A	C	1.8303e-09	0	missense_variant	72	pathogenic	0	39	32
AAA	A	C	1.8303e-09	0	missense_variant	72	pathogenic	1	44	31
AAA	A	C	1.8303e-09	0	missense_variant	72	NA	NA	13	9
AAA	A	C	1.8303e-09	0	missense_variant	73	ambiguous	0	39	25
AAA	A	C	1.8303e-09	0	missense_variant	73	benign	0	220	129
AAA	A	C	1.8303e-09	0	missense_variant	73	pathogenic	0	36	26
AAA	A	C	1.8303e-09	0	missense_variant	73	pathogenic	1	37	26
AAA	A	C	1.8303e-09	0	missense_variant	73	NA	NA	18	14
AAA	A	C	1.8303e-09	0	missense_variant	74	ambiguous	0	33	23
AAA	A	C	1.8303e-09	0	missense_variant	74	benign	0	195	127
AAA	A	C	1.8303e-09	0	missense_variant	74	pathogenic	0	25	19
AAA	A	C	1.8303e-09	0	missense_variant	74	pathogenic	1	43	29
AAA	A	C	1.8303e-09	0	missense_variant	74	NA	NA	11	5
AAA	A	C	1.8303e-09	0	missense_variant	75	ambiguous	0	50	26
AAA	A	C	1.8303e-09	0	missense_variant	75	benign	0	197	127
AAA	A	C	1.8303e-09	0	missense_variant	75	pathogenic	0	24	19
AAA	A	C	1.8303e-09	0	missense_variant	75	pathogenic	1	50	33
AAA	A	C	1.8303e-09	0	missense_variant	75	NA	NA	14	11
